"Gate Voltage","Gate Int. Voltage","Gate Current","Drain Voltage","Drain Int. Voltage","Drain Current","Source Voltage","Source Int. Voltage","Source Current"
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1212900100e-19,0.0000000000e+00,0.0000000000e+00,2.5258240940e-17
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,2.5000000000e-01,2.5000000000e-01,3.0138482340e-06,0.0000000000e+00,0.0000000000e+00,-3.0138482340e-06
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,5.7442900860e-06,0.0000000000e+00,0.0000000000e+00,-5.7442900860e-06
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,7.5000000000e-01,7.5000000000e-01,8.1163514630e-06,0.0000000000e+00,0.0000000000e+00,-8.1163514630e-06
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0094846980e-05,0.0000000000e+00,0.0000000000e+00,-1.0094846980e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,1.2500000000e+00,1.2500000000e+00,1.1710961420e-05,0.0000000000e+00,0.0000000000e+00,-1.1710961420e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,1.5000000000e+00,1.5000000000e+00,1.3031640760e-05,0.0000000000e+00,0.0000000000e+00,-1.3031640760e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,1.7500000000e+00,1.7500000000e+00,1.4120454720e-05,0.0000000000e+00,0.0000000000e+00,-1.4120454720e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,2.0000000000e+00,2.0000000000e+00,1.5029576170e-05,0.0000000000e+00,0.0000000000e+00,-1.5029576170e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,2.2500000000e+00,2.2500000000e+00,1.5800180180e-05,0.0000000000e+00,0.0000000000e+00,-1.5800180180e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,2.5000000000e+00,2.5000000000e+00,1.6463152520e-05,0.0000000000e+00,0.0000000000e+00,-1.6463152520e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,2.7500000000e+00,2.7500000000e+00,1.7040915770e-05,0.0000000000e+00,0.0000000000e+00,-1.7040915770e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.7549667950e-05,0.0000000000e+00,0.0000000000e+00,-1.7549667950e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,3.2500000000e+00,3.2500000000e+00,1.8001399310e-05,0.0000000000e+00,0.0000000000e+00,-1.8001399310e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,3.5000000000e+00,3.5000000000e+00,1.8404965390e-05,0.0000000000e+00,0.0000000000e+00,-1.8404965390e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,3.7500000000e+00,3.7500000000e+00,1.8767063730e-05,0.0000000000e+00,0.0000000000e+00,-1.8767063730e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,4.0000000000e+00,4.0000000000e+00,1.9092279980e-05,0.0000000000e+00,0.0000000000e+00,-1.9092279980e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,4.2500000000e+00,4.2500000000e+00,1.9384344290e-05,0.0000000000e+00,0.0000000000e+00,-1.9384344290e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,4.5000000000e+00,4.5000000000e+00,1.9645684110e-05,0.0000000000e+00,0.0000000000e+00,-1.9645684110e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,4.7500000000e+00,4.7500000000e+00,1.9878787810e-05,0.0000000000e+00,0.0000000000e+00,-1.9878787810e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,2.0086533530e-05,0.0000000000e+00,0.0000000000e+00,-2.0086533530e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,5.2500000000e+00,5.2500000000e+00,2.0275323250e-05,0.0000000000e+00,0.0000000000e+00,-2.0275323250e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,5.5000000000e+00,5.5000000000e+00,2.0449555780e-05,0.0000000000e+00,0.0000000000e+00,-2.0449555780e-05
