"Gate Voltage","Gate Int. Voltage","Gate Current","Drain Voltage","Drain Int. Voltage","Drain Current","Source Voltage","Source Int. Voltage","Source Current"
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0432352840e-19,0.0000000000e+00,0.0000000000e+00,2.9616472060e-17
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,2.5000000000e-01,2.5000000000e-01,2.9613262530e-06,0.0000000000e+00,0.0000000000e+00,-2.9613262530e-06
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,5.8371488330e-06,0.0000000000e+00,0.0000000000e+00,-5.8371488330e-06
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,7.5000000000e-01,7.5000000000e-01,8.5965044990e-06,0.0000000000e+00,0.0000000000e+00,-8.5965044990e-06
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.1232976710e-05,0.0000000000e+00,0.0000000000e+00,-1.1232976710e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,1.2500000000e+00,1.2500000000e+00,1.3756026530e-05,0.0000000000e+00,0.0000000000e+00,-1.3756026530e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,1.5000000000e+00,1.5000000000e+00,1.6176279090e-05,0.0000000000e+00,0.0000000000e+00,-1.6176279090e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,1.7500000000e+00,1.7500000000e+00,1.8496545400e-05,0.0000000000e+00,0.0000000000e+00,-1.8496545400e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,2.0000000000e+00,2.0000000000e+00,2.0711411470e-05,0.0000000000e+00,0.0000000000e+00,-2.0711411470e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,2.2500000000e+00,2.2500000000e+00,2.2811166840e-05,0.0000000000e+00,0.0000000000e+00,-2.2811166840e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,2.5000000000e+00,2.5000000000e+00,2.4783921310e-05,0.0000000000e+00,0.0000000000e+00,-2.4783921310e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,2.7500000000e+00,2.7500000000e+00,2.6617310510e-05,0.0000000000e+00,0.0000000000e+00,-2.6617310510e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,2.8303887520e-05,0.0000000000e+00,0.0000000000e+00,-2.8303887520e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,3.2500000000e+00,3.2500000000e+00,2.9842457650e-05,0.0000000000e+00,0.0000000000e+00,-2.9842457650e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,3.5000000000e+00,3.5000000000e+00,3.1238672410e-05,0.0000000000e+00,0.0000000000e+00,-3.1238672410e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,3.7500000000e+00,3.7500000000e+00,3.2504403310e-05,0.0000000000e+00,0.0000000000e+00,-3.2504403310e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,4.0000000000e+00,4.0000000000e+00,3.3655794080e-05,0.0000000000e+00,0.0000000000e+00,-3.3655794080e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,4.2500000000e+00,4.2500000000e+00,3.4709252500e-05,0.0000000000e+00,0.0000000000e+00,-3.4709252500e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,4.5000000000e+00,4.5000000000e+00,3.5678921080e-05,0.0000000000e+00,0.0000000000e+00,-3.5678921080e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,4.7500000000e+00,4.7500000000e+00,3.6576157010e-05,0.0000000000e+00,0.0000000000e+00,-3.6576157010e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,3.7408335480e-05,0.0000000000e+00,0.0000000000e+00,-3.7408335480e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,5.2500000000e+00,5.2500000000e+00,3.8179114630e-05,0.0000000000e+00,0.0000000000e+00,-3.8179114630e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,5.5000000000e+00,5.5000000000e+00,3.8889737470e-05,0.0000000000e+00,0.0000000000e+00,-3.8889737470e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,5.7500000000e+00,5.7500000000e+00,3.9540866230e-05,0.0000000000e+00,0.0000000000e+00,-3.9540866230e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,6.0000000000e+00,6.0000000000e+00,4.0134740270e-05,0.0000000000e+00,0.0000000000e+00,-4.0134740270e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,6.2500000000e+00,6.2500000000e+00,4.0677358210e-05,0.0000000000e+00,0.0000000000e+00,-4.0677358210e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,6.5000000000e+00,6.5000000000e+00,4.1177565600e-05,0.0000000000e+00,0.0000000000e+00,-4.1177565600e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,6.7500000000e+00,6.7500000000e+00,4.1643520630e-05,0.0000000000e+00,0.0000000000e+00,-4.1643520630e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,7.0000000000e+00,7.0000000000e+00,4.2078018150e-05,0.0000000000e+00,0.0000000000e+00,-4.2078018150e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,7.2500000000e+00,7.2500000000e+00,4.2484150170e-05,0.0000000000e+00,0.0000000000e+00,-4.2484150170e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,7.5000000000e+00,7.5000000000e+00,4.2860017110e-05,0.0000000000e+00,0.0000000000e+00,-4.2860017110e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,7.7500000000e+00,7.7500000000e+00,4.3202488930e-05,0.0000000000e+00,0.0000000000e+00,-4.3202488930e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,8.0000000000e+00,8.0000000000e+00,4.3513915770e-05,0.0000000000e+00,0.0000000000e+00,-4.3513915770e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,8.2500000000e+00,8.2500000000e+00,4.3800859940e-05,0.0000000000e+00,0.0000000000e+00,-4.3800859940e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,8.5000000000e+00,8.5000000000e+00,4.4067993420e-05,0.0000000000e+00,0.0000000000e+00,-4.4067993420e-05
4.0000000000e+00,4.0000000000e+00,0.0000000000e+00,8.7500000000e+00,8.7500000000e+00,4.4319853480e-05,0.0000000000e+00,0.0000000000e+00,-4.4319853480e-05
