"Gate Voltage","Gate Int. Voltage","Gate Current","Drain Voltage","Drain Int. Voltage","Drain Current","Source Voltage","Source Int. Voltage","Source Current"
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.2181035970e-19,0.0000000000e+00,0.0000000000e+00,3.0362391060e-17
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,2.5000000000e-01,2.5000000000e-01,5.3055356840e-09,0.0000000000e+00,0.0000000000e+00,-5.3055356510e-09
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,7.2772061830e-09,0.0000000000e+00,0.0000000000e+00,-7.2772061430e-09
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,7.5000000000e-01,7.5000000000e-01,9.3756180130e-09,0.0000000000e+00,0.0000000000e+00,-9.3756180110e-09
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.1615765040e-08,0.0000000000e+00,0.0000000000e+00,-1.1615765060e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.2500000000e+00,1.2500000000e+00,1.3978258260e-08,0.0000000000e+00,0.0000000000e+00,-1.3978258230e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.5000000000e+00,1.5000000000e+00,1.6356540050e-08,0.0000000000e+00,0.0000000000e+00,-1.6356540020e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.7500000000e+00,1.7500000000e+00,1.8311642690e-08,0.0000000000e+00,0.0000000000e+00,-1.8311642660e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,2.0000000000e+00,2.0000000000e+00,1.9912376930e-08,0.0000000000e+00,0.0000000000e+00,-1.9912376920e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,2.2500000000e+00,2.2500000000e+00,2.1494723610e-08,0.0000000000e+00,0.0000000000e+00,-2.1494723580e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,2.5000000000e+00,2.5000000000e+00,2.2985772010e-08,0.0000000000e+00,0.0000000000e+00,-2.2985772010e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,2.7500000000e+00,2.7500000000e+00,2.4354261140e-08,0.0000000000e+00,0.0000000000e+00,-2.4354261120e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,2.5619599270e-08,0.0000000000e+00,0.0000000000e+00,-2.5619599300e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,3.2500000000e+00,3.2500000000e+00,2.6835163090e-08,0.0000000000e+00,0.0000000000e+00,-2.6835163090e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,3.5000000000e+00,3.5000000000e+00,2.8034882730e-08,0.0000000000e+00,0.0000000000e+00,-2.8034882760e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,3.7500000000e+00,3.7500000000e+00,2.9210011850e-08,0.0000000000e+00,0.0000000000e+00,-2.9210011910e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,4.0000000000e+00,4.0000000000e+00,3.0355495580e-08,0.0000000000e+00,0.0000000000e+00,-3.0355495580e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,4.2500000000e+00,4.2500000000e+00,3.1476160290e-08,0.0000000000e+00,0.0000000000e+00,-3.1476160270e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,4.5000000000e+00,4.5000000000e+00,3.2570346440e-08,0.0000000000e+00,0.0000000000e+00,-3.2570346450e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,4.7500000000e+00,4.7500000000e+00,3.3650972780e-08,0.0000000000e+00,0.0000000000e+00,-3.3650972740e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,3.4731833050e-08,0.0000000000e+00,0.0000000000e+00,-3.4731833030e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,5.2500000000e+00,5.2500000000e+00,3.5813864830e-08,0.0000000000e+00,0.0000000000e+00,-3.5813864780e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,5.5000000000e+00,5.5000000000e+00,3.6889852190e-08,0.0000000000e+00,0.0000000000e+00,-3.6889852200e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,5.7500000000e+00,5.7500000000e+00,3.7955016500e-08,0.0000000000e+00,0.0000000000e+00,-3.7955016470e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,6.0000000000e+00,6.0000000000e+00,3.9006320580e-08,0.0000000000e+00,0.0000000000e+00,-3.9006320610e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,6.2500000000e+00,6.2500000000e+00,4.0042741720e-08,0.0000000000e+00,0.0000000000e+00,-4.0042741690e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,6.5000000000e+00,6.5000000000e+00,4.1071358920e-08,0.0000000000e+00,0.0000000000e+00,-4.1071358970e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,6.7500000000e+00,6.7500000000e+00,4.2100300360e-08,0.0000000000e+00,0.0000000000e+00,-4.2100300380e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,7.0000000000e+00,7.0000000000e+00,4.3130755770e-08,0.0000000000e+00,0.0000000000e+00,-4.3130755810e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,7.2500000000e+00,7.2500000000e+00,4.4162999040e-08,0.0000000000e+00,0.0000000000e+00,-4.4162999030e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,7.5000000000e+00,7.5000000000e+00,4.5198016170e-08,0.0000000000e+00,0.0000000000e+00,-4.5198016160e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,7.7500000000e+00,7.7500000000e+00,4.6234810710e-08,0.0000000000e+00,0.0000000000e+00,-4.6234810730e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,8.0000000000e+00,8.0000000000e+00,4.7271569370e-08,0.0000000000e+00,0.0000000000e+00,-4.7271569390e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,8.2500000000e+00,8.2500000000e+00,4.8306070850e-08,0.0000000000e+00,0.0000000000e+00,-4.8306070920e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,8.5000000000e+00,8.5000000000e+00,4.9335358670e-08,0.0000000000e+00,0.0000000000e+00,-4.9335358590e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,8.7500000000e+00,8.7500000000e+00,5.0360226330e-08,0.0000000000e+00,0.0000000000e+00,-5.0360226370e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,9.0000000000e+00,9.0000000000e+00,5.1385555900e-08,0.0000000000e+00,0.0000000000e+00,-5.1385555910e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,9.2500000000e+00,9.2500000000e+00,5.2413844340e-08,0.0000000000e+00,0.0000000000e+00,-5.2413844290e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,9.5000000000e+00,9.5000000000e+00,5.3445641950e-08,0.0000000000e+00,0.0000000000e+00,-5.3445641940e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,9.7500000000e+00,9.7500000000e+00,5.4480781120e-08,0.0000000000e+00,0.0000000000e+00,-5.4480781050e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.0000000000e+01,1.0000000000e+01,5.5518835210e-08,0.0000000000e+00,0.0000000000e+00,-5.5518835180e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.0250000000e+01,1.0250000000e+01,5.6559652990e-08,0.0000000000e+00,0.0000000000e+00,-5.6559652890e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.0500000000e+01,1.0500000000e+01,5.7603319810e-08,0.0000000000e+00,0.0000000000e+00,-5.7603319830e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.0750000000e+01,1.0750000000e+01,5.8649252690e-08,0.0000000000e+00,0.0000000000e+00,-5.8649252740e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.1000000000e+01,1.1000000000e+01,5.9696296130e-08,0.0000000000e+00,0.0000000000e+00,-5.9696296150e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.1250000000e+01,1.1250000000e+01,6.0743210060e-08,0.0000000000e+00,0.0000000000e+00,-6.0743210000e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.1500000000e+01,1.1500000000e+01,6.1790840030e-08,0.0000000000e+00,0.0000000000e+00,-6.1790840050e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.1750000000e+01,1.1750000000e+01,6.2843968530e-08,0.0000000000e+00,0.0000000000e+00,-6.2843968550e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.2000000000e+01,1.2000000000e+01,6.3906222130e-08,0.0000000000e+00,0.0000000000e+00,-6.3906222130e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.2250000000e+01,1.2250000000e+01,6.4977416230e-08,0.0000000000e+00,0.0000000000e+00,-6.4977416280e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.2500000000e+01,1.2500000000e+01,6.6055463790e-08,0.0000000000e+00,0.0000000000e+00,-6.6055463740e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.2750000000e+01,1.2750000000e+01,6.7138415540e-08,0.0000000000e+00,0.0000000000e+00,-6.7138415480e-08
2.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.3000000000e+01,1.3000000000e+01,6.8225525690e-08,0.0000000000e+00,0.0000000000e+00,-6.8225525660e-08
