"Gate Voltage","Gate Int. Voltage","Gate Current","Drain Voltage","Drain Int. Voltage","Drain Current","Source Voltage","Source Int. Voltage","Source Current"
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2727740060e-19,0.0000000000e+00,0.0000000000e+00,2.9809937790e-17
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.5000000000e-01,2.5000000000e-01,7.3964463260e-15,0.0000000000e+00,0.0000000000e+00,-7.3869308080e-15
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,2.6430274930e-14,0.0000000000e+00,0.0000000000e+00,-2.6438786190e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,7.5000000000e-01,7.5000000000e-01,3.2796556700e-14,0.0000000000e+00,0.0000000000e+00,-3.2823256810e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,3.8037123720e-14,0.0000000000e+00,0.0000000000e+00,-3.8033792880e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.2500000000e+00,1.2500000000e+00,4.1785897610e-14,0.0000000000e+00,0.0000000000e+00,-4.1771574620e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.5000000000e+00,1.5000000000e+00,4.6614274320e-14,0.0000000000e+00,0.0000000000e+00,-4.6577842690e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.7500000000e+00,1.7500000000e+00,6.0398504100e-14,0.0000000000e+00,0.0000000000e+00,-6.0405477840e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.0000000000e+00,2.0000000000e+00,7.9017540550e-14,0.0000000000e+00,0.0000000000e+00,-7.9009682080e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.2500000000e+00,2.2500000000e+00,8.6102295090e-14,0.0000000000e+00,0.0000000000e+00,-8.6085676920e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.5000000000e+00,2.5000000000e+00,9.7375615090e-14,0.0000000000e+00,0.0000000000e+00,-9.7344332170e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.7500000000e+00,2.7500000000e+00,1.0611552980e-13,0.0000000000e+00,0.0000000000e+00,-1.0607382760e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.0933504760e-13,0.0000000000e+00,0.0000000000e+00,-1.0937214930e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,3.2500000000e+00,3.2500000000e+00,1.1264710990e-13,0.0000000000e+00,0.0000000000e+00,-1.1267164960e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,3.5000000000e+00,3.5000000000e+00,1.1548704320e-13,0.0000000000e+00,0.0000000000e+00,-1.1550605080e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,3.7500000000e+00,3.7500000000e+00,1.2713018640e-13,0.0000000000e+00,0.0000000000e+00,-1.2716531120e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.0000000000e+00,4.0000000000e+00,1.4633399800e-13,0.0000000000e+00,0.0000000000e+00,-1.4630453330e-13
